marker,x_pos,y_pos,z_pos,msec,active
1,0.398212,-0.368323,-0.106611,5.251325,1
1,0.401841,-0.366209,-0.112263,5.375828,1
1,0.404683,-0.36506,-0.117659,5.376159,1
1,0.40909,-0.362914,-0.100172,5.251656,1
1,0.412423,-0.361267,-0.089293,5.374503,1
1,0.415616,-0.359012,-0.08242,5.376159,1
1,0.419297,-0.356227,-0.08638,5.250662,1
1,0.422997,-0.354071,-0.078453,5.37649,1
1,0.425684,-0.352637,-0.084206,5.375497,1
1,0.428603,-0.349686,-0.074385,5.246689,1
1,0.430659,-0.348275,-0.060587,5.37947,1
1,0.433288,-0.345424,-0.062191,5.375165,1
1,0.435141,-0.34295,-0.060249,5.247351,1
1,0.437855,-0.342113,-0.055607,5.380464,1
1,0.439895,-0.340343,-0.083412,5.375828,1
1,0.442748,-0.338288,-0.071157,5.250331,1
1,0.445351,-0.33631,-0.076408,5.376159,1
1,0.447632,-0.334026,-0.064789,5.376159,1
1,0.449654,-0.331831,-0.067406,5.248344,1
1,0.452473,-0.329346,-0.054621,5.378146,1
1,0.454755,-0.326928,-0.061598,5.375497,1
1,0.457793,-0.324561,-0.070318,5.24702,1
1,0.458696,-0.32242,-0.052408,5.379801,1
1,0.460756,-0.319599,-0.01384,5.375828,1
1,0.463554,-0.317047,-0.027117,5.247351,1
1,0.465271,-0.314781,-0.030489,5.378146,1
1,0.467392,-0.312344,-0.014635,5.376821,1
1,0.46946,-0.309566,-0.020512,5.244702,1
1,0.470734,-0.307034,-0.023399,5.381457,1
1,0.471427,-0.30515,-0.000475,5.375828,1
1,0.471927,-0.302148,0.016104,5.250662,1
1,0.473823,-0.299602,0.005005,5.37649,1
1,0.47392,-0.296362,0.017971,5.375828,1
1,0.474302,-0.293843,0.004023,5.25,1
1,0.476166,-0.291724,-0.011354,5.376821,1
1,0.476535,-0.289374,0.012152,5.377483,1
1,0.477373,-0.286565,0.010336,5.248675,1
1,0.478387,-0.284194,0.009809,5.376159,1
1,0.478918,-0.281326,0.008831,5.375497,1
1,0.480125,-0.278611,0.011974,5.251987,1
1,0.480178,-0.275568,0.012438,5.374503,1
1,0.481105,-0.272617,0.011084,5.376159,1
1,0.482059,-0.270458,0.015692,5.250331,1
1,0.482855,-0.26837,0.04612,5.375497,1
1,0.483838,-0.266276,0.052429,5.377152,1
1,0.484596,-0.264354,0.050528,5.250331,1
1,0.485155,-0.261515,0.043289,5.375497,1
1,0.485797,-0.259299,0.050764,5.375497,1
1,0.486202,-0.256623,0.055201,5.251656,1
1,0.487272,-0.254644,0.040756,5.375497,1
1,0.487727,-0.252016,0.046789,5.376159,1
1,0.488301,-0.250149,0.055405,5.250331,1
1,0.488729,-0.247909,0.062149,5.375497,1
1,0.489144,-0.245698,0.04689,5.376159,1
1,0.48984,-0.244113,0.056179,5.250662,1
1,0.490404,-0.24187,0.051905,5.377152,1
1,0.489836,-0.239821,0.062557,5.375165,1
1,0.490783,-0.236969,0.059118,5.250662,1
1,0.491401,-0.234812,0.049511,5.374503,1
1,0.492266,-0.232126,0.057848,5.373179,1
1,0.492345,-0.230798,0.053341,5.254304,1
1,0.493097,-0.228539,0.052877,5.375165,1
1,0.49433,-0.225685,0.056084,5.376159,1
1,0.49502,-0.223177,0.068544,5.250662,1
1,0.495643,-0.220738,0.080309,5.376159,1
1,0.496222,-0.218469,0.072317,5.372848,1
1,0.496677,-0.216458,0.079912,5.254967,1
1,0.496493,-0.213572,0.08469,5.374503,1
1,0.497066,-0.212537,0.080656,5.372185,1
1,0.497505,-0.210848,0.071287,5.253643,1
1,0.498087,-0.209381,0.085064,5.377815,1
1,0.498603,-0.208016,0.091316,5.372185,1
1,0.499314,-0.206062,0.056379,5.253311,1
1,0.499574,-0.203895,0.044298,5.375165,1
1,0.500086,-0.202102,0.046902,5.372848,1
1,0.50026,-0.200621,0.050158,5.254636,1
1,0.501211,-0.198553,0.054819,5.377152,1
1,0.502092,-0.196337,0.049398,5.370861,1
